Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PF/C,Anthony Davis,11800,NO@Bkn 07:30PM ET,55.426,NO,0,1,48.036,42.222,59.750,73.500,29.750,70.800,0.181,2.500,214.500
SF,Kevin Durant,9700,Det@GS 10:30PM ET,49.788,GS,1,0,46.786,40.903,52.062,44.500,3.500,58.200,0.206,0.000,218.500
SG/SF,Jimmy Butler,9300,Chi@NY 08:00PM ET,44.053,Chi,0,1,39.679,34.477,52.250,13.500,19.750,55.800,0.206,3.000,207.500
PG,Stephen Curry,8800,Det@GS 10:30PM ET,43.218,GS,1,0,45.107,36.798,52.750,52.000,25.500,52.800,0.141,0.000,218.500
SF,Kawhi Leonard,8600,LAL@SA 08:30PM ET,41.528,SA,1,0,42.250,32.417,43.062,54.250,28.000,51.600,0.148,0.000,212.000
PF/C,Draymond Green,7600,Det@GS 10:30PM ET,39.514,GS,1,0,40.893,34.050,38.062,39.250,8.500,45.600,0.232,0.000,218.500
C,Andre Drummond,7500,Det@GS 10:30PM ET,38.667,Det,0,0,37.607,29.762,44.750,44.500,21.500,45.000,0.298,13.500,218.500
SF,Carmelo Anthony,7300,Chi@NY 08:00PM ET,37.158,NY,1,0,39.107,27.925,37.125,40.500,12.000,43.800,0.296,0.000,207.500
PF,Kristaps Porzingis,7200,Chi@NY 08:00PM ET,36.826,NY,1,0,32.143,27.819,27.625,18.500,18.000,43.200,0.292,0.000,207.500
PF/C,LaMarcus Aldridge,7100,LAL@SA 08:30PM ET,33.154,SA,1,0,35.714,25.056,42.812,36.750,27.750,42.600,0.183,0.000,212.000
PG,Eric Bledsoe,7100,Dal@Pho 10:00PM ET,38.559,Pho,1,0,42.893,29.462,44.375,52.000,1.000,42.600,0.365,2.000,207.500
PG,Jrue Holiday,7000,NO@Bkn 07:30PM ET,32.323,NO,0,0,28.464,26.839,30.812,26.000,30.000,42.000,0.106,2.500,214.500
PG,Reggie Jackson,6900,Det@GS 10:30PM ET,29.684,Det,0,0,29.714,23.000,39.938,25.500,15.000,41.400,0.122,13.500,218.500
SG,Dwyane Wade,6800,Chi@NY 08:00PM ET,33.129,Chi,0,1,33.964,25.328,31.688,38.500,24.500,40.800,0.205,3.000,207.500
SF/PF,Harrison Barnes,6700,Dal@Pho 10:00PM ET,31.862,Dal,0,0,32.929,24.868,36.062,35.500,23.250,40.200,0.154,0.000,207.500
PF/C,Julius Randle,6600,LAL@SA 08:30PM ET,32.243,LAL,0,0,29.929,24.188,32.750,22.000,2.750,39.600,0.252,14.000,212.000
