Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,13000,OKC@Chi 08:00PM ET,64.553,OKC,0,0,61.286,53.461,69.688,10.000,78.000,55.250,0.164,1.000,1.000,-150.909,55.250
PF/C,Anthony Davis,11100,NO@NY 07:30PM ET,54.958,NO,0,0,48.036,42.222,59.750,23.250,66.600,73.500,0.253,215.000,3.000,82.545,73.500
SG/SF,Jimmy Butler,9300,OKC@Chi 08:00PM ET,44.878,Chi,1,0,51.036,34.477,52.250,9.000,55.800,13.500,0.206,1.000,-1.000,-163.195,13.500
PF/C,Karl-Anthony Towns,8900,Dal@Min 08:00PM ET,44.601,Min,1,0,48.429,38.163,49.750,7.000,53.400,62.750,0.232,196.500,-4.500,52.935,62.750
PF,Kristaps Porzingis,7400,NO@NY 07:30PM ET,37.926,NY,1,0,32.143,28.368,35.500,26.500,44.400,18.500,0.268,215.000,-3.000,73.231,18.500
SF,Carmelo Anthony,7200,NO@NY 07:30PM ET,37.389,NY,1,0,39.107,27.925,42.188,22.000,43.200,27.500,0.313,215.000,-3.000,84.545,27.500
SG,Zach LaVine,6700,Dal@Min 08:00PM ET,31.986,Min,1,0,34.607,24.237,30.750,4.000,40.200,21.500,0.201,196.500,-4.500,41.805,21.500
PG,Jrue Holiday,6600,NO@NY 07:30PM ET,32.565,NO,0,0,28.464,26.839,30.812,13.500,39.600,26.000,0.170,215.000,3.000,82.545,26.000
SF,Andrew Wiggins,6500,Dal@Min 08:00PM ET,32.655,Min,1,0,30.536,21.562,27.750,3.000,39.000,16.500,0.283,196.500,-4.500,39.233,16.500
SF/PF,Harrison Barnes,6400,Dal@Min 08:00PM ET,31.764,Dal,0,0,32.929,24.868,36.062,6.500,38.400,35.500,0.210,196.500,4.500,50.825,35.500
SG,Victor Oladipo,6300,OKC@Chi 08:00PM ET,28.724,OKC,0,0,30.964,19.946,28.812,12.500,37.800,22.500,0.194,1.000,1.000,-150.909,22.500
SG,Dwyane Wade,6200,OKC@Chi 08:00PM ET,32.971,Chi,1,0,31.536,25.328,31.688,11.000,37.200,38.500,0.331,1.000,-1.000,-148.909,38.500
