Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG/SG,James Harden,12000,Hou@Min 08:00PM ET,60.944,Hou,0,0,58.857,53.391,64.812,13.500,72.000,64.000,0.185,218.500,-3.500,3.333,64.000
PG,Russell Westbrook,11800,Mem@OKC 08:00PM ET,64.327,OKC,1,0,70.321,53.461,68.562,8.000,70.800,65.750,0.319,204.000,-4.500,-6.842,65.750
SF,LeBron James,9700,Cle@Por 10:30PM ET,52.147,Cle,0,0,52.714,44.053,49.625,19.500,58.200,43.750,0.286,222.000,-5.000,5.789,43.750
PF/C,Karl-Anthony Towns,9500,Hou@Min 08:00PM ET,45.079,Min,1,0,49.036,38.458,50.875,19.750,57.000,59.500,0.157,218.500,3.500,3.333,59.500
PG,Chris Paul,9400,Orl@LAC 10:30PM ET,44.447,LAC,1,0,48.964,37.275,47.312,13.500,56.400,41.750,0.129,209.000,-10.500,-3.333,41.750
PG,John Wall,9200,Was@Bos 08:00PM ET,48.929,Was,0,0,42.500,41.162,44.938,25.500,55.200,41.750,0.252,217.500,5.500,0.632,41.750
PG,Isaiah Thomas,8900,Was@Bos 08:00PM ET,42.713,Bos,1,0,48.607,35.711,43.312,5.000,53.400,52.250,0.145,217.500,-5.500,-9.368,52.250
PG,Damian Lillard,8500,Cle@Por 10:30PM ET,44.107,Por,1,0,36.179,34.079,36.312,20.000,51.000,22.250,0.274,222.000,5.000,-6.620,22.250
PG,Kyrie Irving,8200,Cle@Por 10:30PM ET,40.070,Cle,0,0,37.036,31.618,34.875,13.500,49.200,19.250,0.185,222.000,-5.000,-4.941,19.250
PF/C,Kevin Love,8100,Cle@Por 10:30PM ET,41.765,Cle,0,0,36.679,33.974,34.625,28.500,48.600,29.500,0.242,222.000,-5.000,-4.497,29.500
PF/C,Joel Embiid,8000,NY@Phi 07:00PM ET,36.740,Phi,1,0,36.714,29.521,41.188,23.250,48.000,45.500,0.109,211.500,2.000,-1.579,45.500
PG/SG,C.J. McCollum,7800,Cle@Por 10:30PM ET,37.288,Por,1,0,39.357,29.656,44.875,24.000,46.800,45.000,0.213,222.000,5.000,5.789,45.000
SF,Carmelo Anthony,7600,NY@Phi 07:00PM ET,37.122,NY,0,0,34.179,27.925,37.125,19.500,45.600,40.500,0.248,211.500,-2.000,-1.579,40.500
PF,Kristaps Porzingis,7500,NY@Phi 07:00PM ET,37.371,NY,0,0,34.179,27.819,27.625,5.000,45.000,18.500,0.242,211.500,-2.000,-25.166,18.500
PF/C,Blake Griffin,7300,Orl@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,15.000,43.800,46.250,0.412,209.000,-10.500,-3.333,0.000
C,DeAndre Jordan,7000,Orl@LAC 10:30PM ET,34.369,LAC,1,0,37.536,28.837,41.062,18.500,42.000,47.500,0.194,209.000,-10.500,-3.333,47.500
