Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PF/C,DeMarcus Cousins,10800,GS@Sac 09:00PM ET,52.450,Sac,1,0,55.536,40.156,45.688,16.000,64.800,41.500,0.175,226.000,12.000,25.745,41.500
SF,LeBron James,10200,Cle@Pho 08:30PM ET,52.438,Cle,0,0,54.786,43.632,50.625,26.000,61.200,43.500,0.215,221.000,-8.500,23.813,43.500
SF,Kevin Durant,9700,GS@Sac 09:00PM ET,49.757,GS,0,0,48.286,40.691,48.750,12.000,58.200,56.250,0.212,226.000,-12.000,27.745,56.250
PG,Stephen Curry,9000,GS@Sac 09:00PM ET,42.838,GS,0,0,40.571,36.487,48.062,21.000,54.000,48.500,0.109,226.000,-12.000,27.745,48.500
PG,Kyrie Irving,8200,Cle@Pho 08:30PM ET,40.308,Cle,0,0,40.429,32.383,46.562,25.500,49.200,40.500,0.199,221.000,-8.500,23.813,40.500
PF/C,Kevin Love,8000,Cle@Pho 08:30PM ET,42.161,Cle,0,0,40.464,34.603,39.375,22.250,48.000,43.500,0.282,221.000,-8.500,23.813,43.500
PF/C,Draymond Green,7500,GS@Sac 09:00PM ET,39.529,GS,0,0,38.000,33.776,40.625,16.000,45.000,39.250,0.257,226.000,-12.000,27.745,39.250
SF,Gordon Hayward,7100,Uta@Mem 08:00PM ET,37.266,Uta,0,0,31.536,28.667,28.188,6.000,42.600,35.250,0.294,187.500,2.500,-14.201,35.250
C,Marc Gasol,7000,Uta@Mem 08:00PM ET,38.473,Mem,1,0,36.357,28.528,37.188,2.000,42.000,28.500,0.375,187.500,-2.500,-17.534,28.500
PF/C,Julius Randle,7000,Orl@LAL 09:30PM ET,32.279,LAL,1,0,40.821,24.303,41.875,15.000,42.000,41.250,0.196,217.000,-2.500,20.667,41.250
PG,Eric Bledsoe,6900,Cle@Pho 08:30PM ET,38.196,Pho,1,0,42.893,29.462,44.375,20.000,41.400,52.000,0.404,221.000,8.500,21.813,52.000
C,Nikola Vucevic,6800,Orl@LAL 09:30PM ET,33.707,Orl,0,0,35.500,25.637,34.625,30.000,40.800,37.750,0.261,217.000,2.500,20.667,37.750
PG,Mike Conley,6700,Uta@Mem 08:00PM ET,35.648,Mem,1,0,31.429,27.450,40.875,7.000,40.200,36.500,0.338,187.500,-2.500,-13.963,36.500
PF/C,Serge Ibaka,6700,Orl@LAL 09:30PM ET,30.697,Orl,0,0,35.250,23.557,31.438,28.250,40.200,37.000,0.181,217.000,2.500,20.667,37.000
C,Rudy Gobert,6600,Uta@Mem 08:00PM ET,35.743,Uta,0,0,36.107,26.922,34.375,1.000,39.600,29.500,0.324,187.500,2.500,-22.534,29.500
PG,D'Angelo Russell,6500,Orl@LAL 09:30PM ET,29.602,LAL,1,0,33.714,23.047,38.625,13.500,39.000,45.500,0.208,217.000,-2.500,20.667,45.500
SG,Klay Thompson,6400,GS@Sac 09:00PM ET,32.122,GS,0,0,30.500,25.087,30.125,23.500,38.400,26.500,0.259,226.000,-12.000,27.745,26.500
PG,Elfrid Payton,6400,Orl@LAL 09:30PM ET,27.888,Orl,0,0,32.536,20.650,31.062,27.500,38.400,23.500,0.187,217.000,2.500,20.667,23.500
SG/SF,Evan Fournier,6300,Orl@LAL 09:30PM ET,28.333,Orl,0,0,27.536,21.118,28.375,24.500,37.800,34.750,0.153,217.000,2.500,20.667,34.750
SG,Devin Booker,6200,Cle@Pho 08:30PM ET,29.153,Pho,1,0,36.107,22.524,31.625,28.000,37.200,44.250,0.223,221.000,8.500,21.813,44.250
SF,Rudy Gay,6100,GS@Sac 09:00PM ET,34.500,Sac,1,0,28.786,26.712,29.625,10.500,36.600,35.750,0.418,226.000,12.000,25.745,35.750
PG,George Hill,6000,Uta@Mem 08:00PM ET,33.196,Uta,0,0,35.607,20.250,29.875,8.000,36.000,26.000,0.379,187.500,2.500,-2.534,26.000
PF/C,Zach Randolph,5700,Uta@Mem 08:00PM ET,27.172,Mem,1,0,28.500,22.764,32.500,1.500,34.200,36.750,0.195,187.500,-2.500,-19.201,36.750
SF/PF,Aaron Gordon,5600,Orl@LAL 09:30PM ET,22.342,Orl,0,0,20.179,14.857,30.250,27.250,33.600,10.000,0.119,217.000,2.500,11.021,10.000
SG,Tony Allen,5100,Uta@Mem 08:00PM ET,22.883,Mem,1,0,24.750,15.986,24.062,1.000,30.600,11.250,0.187,187.500,-2.500,-31.504,11.250
C,Tristan Thompson,5000,Cle@Pho 08:30PM ET,24.114,Cle,0,0,26.500,18.262,21.938,24.000,30.000,21.500,0.242,221.000,-8.500,23.813,21.500
PF/C,Derrick Favors,4900,Uta@Mem 08:00PM ET,20.946,Uta,0,0,19.607,13.500,23.688,2.500,29.400,9.750,0.198,187.500,2.500,-26.913,9.750
C,Tyson Chandler,4900,Cle@Pho 08:30PM ET,24.578,Pho,1,0,28.964,17.562,29.812,7.000,29.400,31.750,0.308,221.000,8.500,10.384,31.750
SG,Lou Williams,4900,Orl@LAL 09:30PM ET,28.250,LAL,1,0,20.179,19.750,20.500,22.000,29.400,14.750,0.442,217.000,-2.500,10.238,14.750
