Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12500,Min@OKC 08:00PM ET,65.117,OKC,1,0,70.071,54.533,72.188,19.000,75.000,65.750,0.233,212.000,-4.000,1.429,65.750
SF,LeBron James,10300,GS@Cle 02:30PM ET,51.856,Cle,1,0,55.107,42.786,54.188,10.500,61.800,60.250,0.217,219.500,3.500,6.786,60.250
SF,Kevin Durant,9500,GS@Cle 02:30PM ET,49.081,GS,0,0,47.000,41.281,49.312,27.000,57.000,65.750,0.238,219.500,-3.500,6.786,65.750
PG,Chris Paul,9300,LAC@LAL 10:30PM ET,44.017,LAC,0,0,42.393,36.309,40.938,27.500,55.800,39.500,0.141,209.500,-2.500,-0.357,0.000
PG,Stephen Curry,8500,GS@Cle 02:30PM ET,43.032,GS,0,0,39.250,36.721,38.688,20.000,51.000,28.750,0.164,219.500,-3.500,-1.634,28.750
PF/C,Karl-Anthony Towns,8300,Min@OKC 08:00PM ET,44.543,Min,0,0,41.679,37.434,45.625,14.250,49.800,34.500,0.321,212.000,4.000,1.429,34.500
PF/C,Kevin Love,8200,GS@Cle 02:30PM ET,42.270,Cle,1,0,42.786,34.483,46.562,16.000,49.200,35.500,0.248,219.500,3.500,6.786,35.500
PG,Isaiah Thomas,8100,Bos@NY 12:00PM ET,41.942,Bos,0,0,44.464,36.031,50.062,13.500,48.600,37.250,0.218,210.000,-2.000,-0.000,37.250
PF/C,Draymond Green,8000,GS@Cle 02:30PM ET,39.888,GS,0,0,38.000,33.656,37.750,10.750,48.000,26.000,0.166,219.500,-3.500,-2.023,26.000
PF/C,Blake Griffin,7900,LAC@LAL 10:30PM ET,41.942,LAC,0,0,38.143,35.625,41.750,28.250,47.400,46.250,0.259,209.500,-2.500,-0.357,0.000
SF,Kawhi Leonard,7800,Chi@SA 05:00PM ET,41.492,SA,1,0,39.214,33.288,47.062,8.500,46.800,55.000,0.297,199.000,-8.500,-7.857,55.000
PG,Kyrie Irving,7700,GS@Cle 02:30PM ET,38.481,Cle,1,0,44.071,32.143,53.250,16.500,46.200,63.000,0.251,219.500,3.500,6.786,63.000
