Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds
PG/SG,James Harden,12200,Hou@Mia 07:30PM ET,60.593,Hou,0,0,60.643,53.210,60.938,8.000,73.200,77.500,0.161,221.500,-8.000
PF/C,Karl-Anthony Towns,9300,Min@SA 08:30PM ET,45.677,Min,0,0,45.143,38.390,51.875,2.000,55.800,49.000,0.189,200.000,12.000
SG/SF,Jimmy Butler,9100,Dal@Chi 08:00PM ET,44.256,Chi,1,0,56.786,34.739,42.062,5.000,54.600,55.250,0.238,197.000,-6.000
SF,Kawhi Leonard,8800,Min@SA 08:30PM ET,41.789,SA,1,0,42.571,33.544,49.500,4.000,52.800,52.750,0.129,200.000,-12.000
PG,Kyle Lowry,8600,Tor@Bkn 07:30PM ET,43.538,Tor,0,0,48.750,35.264,41.688,29.000,51.600,39.000,0.217,227.500,-11.500
SG,DeMar DeRozan,8500,Tor@Bkn 07:30PM ET,42.313,Tor,0,0,45.500,35.350,48.812,30.000,51.000,60.750,0.188,227.500,-11.500
C,Hassan Whiteside,8400,Hou@Mia 07:30PM ET,42.385,Mia,1,0,45.893,31.026,41.812,23.000,50.400,37.750,0.272,221.500,8.000
C,Nikola Jokic,8100,Den@LAL 10:30PM ET,32.250,Den,0,0,41.786,21.145,52.062,29.000,48.600,56.250,0.149,230.500,-1.000
PF/C,Julius Randle,7200,Den@LAL 10:30PM ET,31.663,LAL,1,0,34.536,22.438,24.812,12.500,43.200,25.750,0.147,230.500,1.000
PG,D'Angelo Russell,7000,Den@LAL 10:30PM ET,29.633,LAL,1,0,35.607,21.556,20.312,30.000,42.000,14.000,0.120,230.500,1.000
PG,Goran Dragic,6800,Hou@Mia 07:30PM ET,34.758,Mia,1,0,39.857,27.566,34.938,12.000,40.800,42.500,0.294,221.500,8.000
SF/PF,Wilson Chandler,6700,Den@LAL 10:30PM ET,30.097,Den,0,0,23.036,21.289,33.688,27.500,40.200,30.000,0.192,230.500,-1.000
PF/C,LaMarcus Aldridge,6600,Min@SA 08:30PM ET,32.479,SA,1,0,35.536,24.650,30.188,9.750,39.600,42.000,0.255,200.000,-12.000
SG,Dwyane Wade,6500,Dal@Chi 08:00PM ET,33.338,Chi,1,0,32.929,25.764,34.188,4.500,39.000,26.250,0.257,197.000,-6.000
SF/PF,Harrison Barnes,6400,Dal@Chi 08:00PM ET,31.800,Dal,0,0,33.750,24.319,30.812,15.750,38.400,26.500,0.206,197.000,6.000
C,Brook Lopez,6300,Tor@Bkn 07:30PM ET,34.583,Bkn,1,0,33.143,27.845,35.938,8.000,37.800,43.500,0.387,227.500,11.500
C,Jonas Valanciunas,6200,Tor@Bkn 07:30PM ET,27.809,Tor,0,0,22.143,20.212,34.688,30.000,37.200,20.500,0.166,227.500,-11.500
PF/C,Dirk Nowitzki,6100,Dal@Chi 08:00PM ET,25.033,Dal,0,0,26.929,18.833,33.688,14.750,36.600,29.000,0.116,197.000,6.000
PF,James Johnson,6100,Hou@Mia 07:30PM ET,25.347,Mia,1,0,30.536,15.667,32.625,12.500,36.600,38.000,0.141,221.500,8.000
SG,Zach LaVine,6000,Min@SA 08:30PM ET,31.421,Min,0,0,26.929,23.461,28.375,22.000,36.000,26.500,0.319,200.000,12.000
