Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus, penalty,Final
DeAndre Jordan,7000,C,LAC,34.000,101,1,MEM,0,33.000,0.000,47.500
J.J. Redick,5000,SG,LAC,21.007,101,1,MEM,0,21.007,0.000,26.250
Jamal Crawford,4800,SG,LAC,19.568,101,1,MEM,0,19.568,0.000,31.250
Austin Rivers,4900,PG/SG,LAC,17.438,101,1,MEM,0,17.438,0.000,46.500
Raymond Felton,4600,PG,LAC,14.750,101,1,MEM,0,14.750,0.000,32.000
Marreese Speights,4400,PF/C,LAC,19.243,101,1,MEM,0,19.243,0.000,15.500
Wesley Johnson,3000,SF,LAC,10.532,101,1,MEM,0,10.532,0.000,3.250
Paul Pierce,3000,SF,LAC,6.917,101,1,MEM,0,6.917,0.000,0.000
Alan Anderson,3000,SF,LAC,5.596,101,1,MEM,0,5.596,0.000,1.000
Brandon Bass,3000,PF,LAC,9.477,101,1,MEM,0,9.477,0.000,2.500
Diamond Stone,3000,C,LAC,2.813,101,1,MEM,0,2.813,0.000,0.000
Serge Ibaka,6500,PF/C,ORL,30.771,102,1,ATL,0,30.771,0.000,25.250
Elfrid Payton,5900,PG,ORL,27.854,102,1,ATL,0,27.854,0.000,36.000
Nikola Vucevic,6300,C,ORL,33.977,102,1,ATL,0,33.977,0.000,32.000
Aaron Gordon,4600,SF/PF,ORL,21.639,102,1,ATL,0,21.639,0.000,32.000
Bismack Biyombo,4000,C,ORL,21.100,102,1,ATL,0,21.100,0.000,5.500
Jeff Green,3200,SF/PF,ORL,16.193,102,1,ATL,0,16.193,0.000,15.250
Jodie Meeks,4400,SG,ORL,16.641,102,1,ATL,0,16.641,0.000,16.000
D.J. Augustin,3300,PG,ORL,16.090,102,1,ATL,0,16.090,0.000,11.000
C.J. Watson,3000,PG,ORL,7.346,102,1,ATL,0,7.346,0.000,1.500
Mario Hezonja,3000,SG,ORL,6.156,102,1,ATL,0,6.156,0.000,3.500
Damjan Rudez,3000,SF,ORL,4.393,102,1,ATL,0,4.393,0.000,1.250
C.J. Wilcox,3000,SG,ORL,2.783,102,1,ATL,0,2.783,0.000,0.000
Arinze Onuaku,3000,PF,ORL,2.214,102,1,ATL,0,2.214,0.000,0.000
C.J. McCollum,8600,PG/SG,POR,36.104,110,0,GSW,0,36.104,0.000,57.250
Maurice Harkless,4700,SF,POR,23.807,110,0,GSW,0,23.807,0.000,24.250
Allen Crabbe,4200,SG/SF,POR,17.465,110,0,GSW,0,17.465,0.000,29.750
Mason Plumlee,5700,C,POR,29.889,110,0,GSW,0,29.889,0.000,44.000
Al-Farouq Aminu,4300,PF,POR,18.684,110,0,GSW,0,18.684,0.000,31.250
Evan Turner,4900,SG/SF,POR,20.992,110,0,GSW,0,20.992,0.000,17.250
Ed Davis,3000,C,POR,12.764,110,0,GSW,0,12.764,0.000,0.000
Meyers Leonard,3100,PF/C,POR,11.705,110,0,GSW,0,11.705,0.000,11.750
Noah Vonleh,3000,PF,POR,8.948,110,0,GSW,0,8.948,0.000,7.000
Shabazz Napier,3000,PG,POR,7.522,110,0,GSW,0,7.522,0.000,9.000
Jake Layman,3000,PF,POR,4.474,110,0,GSW,0,4.474,0.000,0.000
Pat Connaughton,3000,SF,POR,3.267,110,0,GSW,0,3.267,0.000,0.000
Tim Quarterman,3000,PG,POR,3.250,110,0,GSW,0,3.250,0.000,0.000
Marc Gasol,7800,C,MEM,38.421,101,0,LAC,0,38.421,0.000,43.000
