g,sf,pf,team,sg,all,pg,c
41,45.2,45.5,BKN,43.2,240.3,53.0,53.3
46,41.2,45.2,LAL,39.5,230.0,50.3,53.1
40,39.2,41.3,DEN,41.5,223.0,53.1,48.4
43,39.4,44.6,NO,39.3,222.0,49.7,49.0
44,40.1,46.0,POR,37.7,221.5,46.3,51.7
41,40.2,43.2,PHO,38.8,221.0,49.0,49.9
41,38.8,45.7,IND,40.5,220.9,46.8,48.6
43,39.0,43.5,NY,40.6,219.9,46.3,50.5
42,39.7,44.7,BOS,37.9,219.1,47.5,49.3
42,40.3,41.3,CHA,39.5,218.9,47.4,50.5
41,38.7,44.5,SAC,39.5,218.2,47.7,47.6
45,40.3,41.9,HOU,40.8,217.6,45.9,49.3
44,39.8,41.9,ORL,39.4,217.6,46.7,49.4
40,41.0,42.2,CLE,41.5,217.5,47.0,46.3
40,40.3,40.6,PHI,39.2,217.0,46.2,50.8
41,43.4,42.7,MIL,39.0,216.3,43.4,47.9
42,40.2,42.8,ATL,39.8,215.4,48.1,44.6
44,36.4,42.5,OKC,37.9,213.1,48.3,48.4
42,38.7,41.0,GS,38.3,213.1,46.7,49.4
43,38.8,42.5,CHI,38.2,212.9,46.1,47.3
41,39.1,44.0,WAS,38.0,212.7,43.9,47.3
42,38.4,40.8,MIA,37.2,211.3,45.6,49.2
42,38.8,43.7,TOR,35.5,210.7,45.5,47.3
42,36.8,40.9,MIN,37.3,210.6,47.8,47.7
44,36.7,41.4,DET,37.2,209.0,48.0,45.7
43,39.0,40.4,LAC,37.5,207.0,43.5,46.8
41,37.0,39.9,DAL,37.5,204.1,42.3,47.8
41,35.2,39.6,SA,39.5,201.0,44.0,42.6
44,36.9,40.1,MEM,36.9,200.3,44.5,41.9
43,34.0,38.0,UTA,34.2,192.6,44.1,42.4
