pg,team,sf,pf,g,all,sg,c
52.6,BKN,45.2,46.0,45,239.4,43.0,52.7
49.9,LAL,41.4,44.5,50,229.2,39.5,53.1
50.0,NO,40.1,44.8,46,223.8,39.3,49.5
52.2,DEN,39.3,40.7,45,222.0,41.5,48.9
46.6,IND,38.9,45.4,45,221.5,40.7,49.2
48.3,PHO,40.9,43.4,46,221.4,38.5,50.4
46.3,POR,39.7,45.7,47,221.0,37.7,51.8
46.3,HOU,40.7,42.7,49,219.5,40.6,49.8
46.3,NY,39.2,43.2,47,219.2,40.2,50.2
48.4,BOS,38.8,44.4,45,219.1,38.3,49.3
47.4,CLE,41.2,42.6,44,218.8,41.2,47.1
47.5,SAC,38.7,44.4,45,218.2,40.2,47.3
46.9,CHA,40.3,41.7,46,218.1,39.5,50.1
46.3,ORL,40.0,41.6,47,217.5,40.1,49.1
44.1,MIL,43.1,42.8,45,217.2,39.0,48.4
45.7,PHI,39.7,40.6,44,216.2,39.3,51.1
47.7,ATL,40.6,42.8,46,215.1,40.3,43.9
46.8,GS,38.5,41.2,46,213.4,38.2,49.7
44.2,WAS,39.6,44.4,45,213.0,37.6,46.9
45.9,CHI,38.4,42.6,47,212.8,38.2,47.6
47.5,OKC,37.1,42.6,47,212.6,38.1,47.8
46.1,TOR,38.4,43.8,46,211.1,35.6,47.4
47.5,MIN,37.0,40.8,46,211.1,37.2,48.6
48.3,DET,36.7,41.6,46,209.9,37.1,46.2
44.8,MIA,38.5,40.8,46,209.8,36.7,49.0
43.1,LAC,39.6,40.7,47,208.5,37.2,48.2
42.0,DAL,36.4,39.3,46,201.7,36.9,47.4
45.1,MEM,36.8,40.0,47,201.2,37.2,42.0
43.9,SA,35.4,39.3,45,200.8,39.1,42.9
44.8,UTA,33.7,37.7,48,192.9,34.4,42.5
