Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12300,OKC@LAC 10:30PM ET,64.440,OKC,0,0,58.786,53.625,63.375,75.750,3.000,73.800,0.245,8.000,214.500
SF,LeBron James,10100,Cle@GS 08:00PM ET,51.757,Cle,0,0,52.286,44.075,45.812,44.500,20.000,60.600,0.211,8.000,228.500
SF,Kevin Durant,9900,Cle@GS 08:00PM ET,49.744,GS,1,0,49.464,41.276,50.875,48.000,25.000,59.400,0.171,-8.000,228.500
PG,Chris Paul,9800,OKC@LAC 10:30PM ET,44.536,LAC,1,0,51.643,37.275,49.250,50.250,23.000,58.800,0.089,-8.000,214.500
PG,Stephen Curry,9000,Cle@GS 08:00PM ET,43.181,GS,1,0,45.357,36.798,50.562,44.500,16.000,54.000,0.112,-8.000,228.500
PG,Isaiah Thomas,8800,Cha@Bos 07:30PM ET,43.083,Bos,1,0,48.607,36.075,47.188,46.500,18.000,52.800,0.158,-5.500,215.500
PF/C,Kevin Love,8100,Cle@GS 08:00PM ET,41.329,Cle,0,0,37.536,34.212,34.875,38.750,16.750,48.600,0.237,8.000,228.500
PG,Kyrie Irving,8000,Cle@GS 08:00PM ET,39.456,Cle,0,0,36.786,31.618,33.062,40.000,13.000,48.000,0.212,8.000,228.500
PG,Kemba Walker,7900,Cha@Bos 07:30PM ET,39.827,Cha,0,0,39.607,32.571,39.000,28.250,20.000,47.400,0.221,5.500,215.500
SF,Gordon Hayward,7900,Uta@Pho 09:00PM ET,37.600,Uta,0,0,31.536,29.574,40.188,42.250,22.000,47.400,0.159,-6.000,203.500
C,DeAndre Jordan,7700,OKC@LAC 10:30PM ET,35.238,LAC,1,0,41.750,29.083,43.625,57.750,11.500,46.200,0.116,-8.000,214.500
PF/C,Draymond Green,7600,Cle@GS 08:00PM ET,39.355,GS,1,0,39.464,34.155,36.562,36.250,10.500,45.600,0.226,-8.000,228.500
PF/C,Blake Griffin,7600,OKC@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,46.250,13.750,45.600,0.332,-8.000,214.500
SG/SF,Nicolas Batum,7300,Cha@Bos 07:30PM ET,36.095,Cha,0,0,35.500,27.882,30.875,30.250,15.500,43.800,0.224,5.500,215.500
C,Rudy Gobert,7100,Uta@Pho 09:00PM ET,35.815,Uta,0,0,36.107,27.417,36.188,51.250,22.500,42.600,0.224,-6.000,203.500
PG,George Hill,6800,Uta@Pho 09:00PM ET,32.000,Uta,0,0,35.607,23.312,27.812,27.500,26.000,40.800,0.190,-6.000,203.500
PG,Eric Bledsoe,6800,Uta@Pho 09:00PM ET,38.381,Pho,1,0,41.107,29.393,40.000,42.000,4.500,40.800,0.417,6.000,203.500
C,Al Horford,6700,Cha@Bos 07:30PM ET,36.375,Bos,1,0,37.250,28.850,33.938,31.000,26.000,40.200,0.342,-5.500,215.500
SG,Klay Thompson,6500,Cle@GS 08:00PM ET,32.096,GS,1,0,34.143,25.087,30.125,36.750,28.000,39.000,0.242,-8.000,228.500
PF/C,Enes Kanter,6100,OKC@LAC 10:30PM ET,26.321,OKC,0,0,32.357,16.881,41.688,50.500,5.750,36.600,0.185,8.000,214.500
SG,Avery Bradley,6000,Cha@Bos 07:30PM ET,33.936,Bos,1,0,31.857,27.044,35.875,45.250,23.000,36.000,0.408,-5.500,215.500
SG,Devin Booker,6000,Uta@Pho 09:00PM ET,30.372,Pho,1,0,42.250,22.524,40.250,44.500,1.000,36.000,0.293,6.000,203.500
SG/SF,Marcus Smart,5900,Cha@Bos 07:30PM ET,24.770,Bos,1,0,26.321,19.591,31.438,25.000,24.500,35.400,0.098,-5.500,215.500
SG/SF,J.J. Redick,5600,OKC@LAC 10:30PM ET,22.141,LAC,1,0,26.214,14.645,30.750,16.750,6.750,33.600,0.110,-8.000,214.500
SG,Victor Oladipo,5600,OKC@LAC 10:30PM ET,28.538,OKC,0,0,29.393,20.672,26.688,32.750,10.000,33.600,0.308,8.000,214.500
SF,Jae Crowder,5300,Cha@Bos 07:30PM ET,25.891,Bos,1,0,23.857,19.357,25.438,30.750,26.000,31.800,0.207,-5.500,215.500
C,Steven Adams,5300,OKC@LAC 10:30PM ET,26.935,OKC,0,1,28.857,20.062,22.500,13.000,7.000,31.800,0.269,8.000,214.500
SF,Michael Kidd-Gilchrist,5200,Cha@Bos 07:30PM ET,23.429,Cha,0,0,26.679,16.725,26.750,38.000,21.000,31.200,0.188,5.500,215.500
SG,Jeremy Lamb,5000,Cha@Bos 07:30PM ET,18.536,Cha,0,1,21.464,8.188,19.812,25.750,10.000,30.000,0.152,5.500,215.500
PG/SG,Austin Rivers,4900,OKC@LAC 10:30PM ET,18.888,LAC,1,0,25.714,11.100,31.938,25.250,16.500,29.400,0.145,-8.000,214.500
PF/C,Derrick Favors,4900,Uta@Pho 09:00PM ET,20.935,Uta,0,0,19.607,13.983,21.188,24.500,21.000,29.400,0.200,-6.000,203.500
C,Tyson Chandler,4900,Uta@Pho 09:00PM ET,25.438,Pho,1,0,29.929,18.015,32.812,29.250,3.000,29.400,0.335,6.000,203.500
C,Cody Zeller,4700,Cha@Bos 07:30PM ET,24.121,Cha,0,0,28.643,19.211,25.438,38.000,20.500,28.200,0.293,5.500,215.500
PF/C,Kelly Olynyk,4500,Cha@Bos 07:30PM ET,19.110,Bos,1,1,18.036,12.015,27.375,42.500,17.750,27.000,0.191,-5.500,215.500
PF,Marvin Williams,4400,Cha@Bos 07:30PM ET,21.699,Cha,0,0,22.107,15.391,24.688,12.750,26.000,26.400,0.265,5.500,215.500
