Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PG/SG,James Harden,12200,Hou@Mia 07:30PM ET,60.593,Hou,0,0,58.036,53.210,61.500,58.500,8.000,73.200,0.151,-8.000,221.500,0.000,77.500,77.500,58.500,43.750,64.000,79.750,78.500,37.000,57.500,59.000,103.500,77.750
PF/C,Karl-Anthony Towns,9300,Min@SA 08:30PM ET,45.677,Min,0,0,44.143,38.390,55.312,36.750,2.000,55.800,0.190,12.000,200.000,0.000,49.000,49.000,36.750,62.250,59.500,62.750,39.250,42.000,55.000,40.250,46.000,51.250
SG/SF,Jimmy Butler,9100,Dal@Chi 08:00PM ET,44.256,Chi,1,0,53.643,34.739,45.125,40.500,5.000,54.600,0.233,-6.000,197.000,0.000,55.250,55.250,40.500,59.000,13.500,67.500,43.000,85.000,50.250,39.000,67.000,33.250
SF,Kawhi Leonard,8800,Min@SA 08:30PM ET,41.789,SA,1,0,41.214,32.417,43.438,49.000,4.000,52.800,0.122,-12.000,200.000,0.000,52.750,52.750,49.000,42.000,54.250,28.500,44.000,45.500,25.000,55.000,43.250,50.250
PG,Kyle Lowry,8600,Tor@Bkn 07:30PM ET,43.538,Tor,0,0,48.750,35.264,41.688,39.000,29.000,51.600,0.217,-11.500,227.500,0.000,0.000,39.000,44.500,49.000,34.250,65.250,55.000,13.500,63.750,43.250,57.500,45.500
SG,DeMar DeRozan,8500,Tor@Bkn 07:30PM ET,42.313,Tor,0,0,42.536,35.350,46.125,35.750,30.000,51.000,0.167,-11.500,227.500,0.000,60.750,60.750,35.750,36.000,62.750,50.000,54.000,40.250,32.500,40.250,29.750,52.250
C,Hassan Whiteside,8400,Hou@Mia 07:30PM ET,42.385,Mia,1,0,46.857,30.653,38.875,34.250,23.000,50.400,0.277,8.000,221.500,0.000,37.750,37.750,34.250,59.500,35.750,26.000,22.500,25.500,40.500,44.250,63.750,50.250
C,Nikola Jokic,8100,Den@LAL 10:30PM ET,32.250,Den,0,0,38.786,21.145,47.750,60.250,29.000,48.600,0.137,-1.000,230.500,0.000,56.250,56.250,60.250,51.500,42.250,37.000,47.750,38.750,45.000,50.000,29.750,17.000
PF/C,Julius Randle,7200,Den@LAL 10:30PM ET,31.663,LAL,1,0,34.500,22.263,23.875,19.000,12.500,43.200,0.153,1.000,230.500,0.000,25.750,25.750,19.000,15.500,39.000,22.000,41.250,31.000,36.750,58.500,44.250,25.500
PG,D'Angelo Russell,7000,Den@LAL 10:30PM ET,29.633,LAL,1,0,38.179,22.403,25.562,32.750,30.000,42.000,0.125,1.000,230.500,0.000,14.000,14.000,32.750,17.750,16.750,35.000,45.500,40.500,32.500,36.000,45.500,32.000
PG,Goran Dragic,6800,Hou@Mia 07:30PM ET,34.758,Mia,1,0,40.643,27.566,30.625,30.750,12.000,40.800,0.289,8.000,221.500,0.000,42.500,42.500,30.750,27.000,39.500,25.250,33.750,43.250,18.750,35.000,34.000,31.000
SF/PF,Wilson Chandler,6700,Den@LAL 10:30PM ET,30.097,Den,0,0,26.071,20.806,32.375,25.000,27.500,40.200,0.195,-1.000,230.500,0.000,28.000,28.000,25.000,38.750,41.000,24.750,19.750,35.000,25.250,33.750,9.000,39.750
PF/C,LaMarcus Aldridge,6600,Min@SA 08:30PM ET,32.479,SA,1,0,34.464,24.650,29.312,21.500,9.750,39.600,0.248,-12.000,200.000,0.000,42.000,42.000,21.500,20.500,36.750,38.500,42.750,53.250,17.500,44.000,45.250,52.000
SG,Dwyane Wade,6500,Dal@Chi 08:00PM ET,33.338,Chi,1,1,33.571,26.153,37.375,39.750,4.500,39.000,0.265,-6.000,197.000,0.000,26.250,26.250,39.750,32.250,38.500,39.000,24.500,24.750,33.000,23.000,39.250,39.250
SF/PF,Harrison Barnes,6400,Dal@Chi 08:00PM ET,31.800,Dal,0,0,35.214,24.611,31.938,20.250,15.750,38.400,0.212,6.000,197.000,0.000,26.500,26.500,20.250,41.000,35.500,31.000,33.500,44.250,37.250,35.750,26.750,24.750
C,Brook Lopez,6300,Tor@Bkn 07:30PM ET,34.583,Bkn,1,1,33.214,27.500,34.062,34.750,8.000,37.800,0.379,11.500,227.500,0.000,44.750,44.750,34.750,33.500,32.000,36.000,17.750,25.500,29.000,26.750,43.750,40.250
C,Jonas Valanciunas,6200,Tor@Bkn 07:30PM ET,27.809,Tor,0,0,23.036,20.575,33.500,34.000,30.000,37.200,0.172,-11.500,227.500,0.000,20.500,20.500,34.000,33.500,50.750,15.750,26.250,35.750,9.000,27.750,21.000,15.250
PF/C,Dirk Nowitzki,6100,Dal@Chi 08:00PM ET,25.033,Dal,0,0,25.179,18.833,32.000,34.500,14.750,36.600,0.118,6.000,197.000,0.000,29.000,29.000,34.500,30.500,40.750,22.250,29.250,22.750,19.250,10.250,19.500,22.500
PF,James Johnson,6100,Hou@Mia 07:30PM ET,25.347,Mia,1,0,28.929,15.667,32.188,36.000,12.500,36.600,0.132,8.000,221.500,0.000,38.000,38.000,36.000,29.000,27.500,36.250,36.000,37.750,42.250,16.500,28.250,29.500
SG,Zach LaVine,6000,Min@SA 08:30PM ET,31.421,Min,0,0,29.143,23.292,26.562,21.750,22.000,36.000,0.325,12.000,200.000,0.000,26.500,26.500,21.750,21.500,43.750,19.250,38.500,20.250,34.500,28.750,29.750,22.250
SF,Andrew Wiggins,6000,Min@SA 08:30PM ET,32.378,Min,0,0,35.607,23.132,30.125,36.500,2.000,36.000,0.375,12.000,200.000,0.000,18.750,18.750,36.500,30.000,37.500,16.500,28.250,48.750,17.500,31.750,47.750,37.750
SF,Danilo Gallinari,6000,Den@LAL 10:30PM ET,28.660,Den,0,0,30.750,23.550,25.000,27.000,28.000,36.000,0.158,-1.000,230.500,0.000,31.750,31.750,27.000,26.500,25.750,20.750,37.000,39.500,27.250,26.750,45.750,40.750
PG,Deron Williams,5900,Dal@Chi 08:00PM ET,28.617,Dal,0,0,32.964,20.554,32.312,38.000,9.000,35.400,0.238,6.000,197.000,0.000,32.500,32.500,38.000,46.500,25.000,19.750,33.500,30.750,21.000,27.250,18.750,42.500
PG,Ricky Rubio,5900,Min@SA 08:30PM ET,27.625,Min,0,0,30.250,20.560,43.062,31.250,4.000,35.400,0.220,12.000,200.000,0.000,50.000,50.000,31.250,47.000,42.250,51.750,27.250,21.250,19.250,14.000,27.250,45.000
SG,Eric Gordon,5800,Hou@Mia 07:30PM ET,28.811,Hou,0,0,32.536,22.663,27.812,33.750,8.000,34.800,0.226,-8.000,221.500,0.000,10.750,10.750,33.750,16.250,31.000,30.250,34.750,41.500,24.000,31.500,26.250,28.250
PF/C,Taj Gibson,5700,Dal@Chi 08:00PM ET,25.488,Chi,1,0,21.143,19.630,30.625,31.000,9.750,34.200,0.135,-6.000,197.000,0.000,0.000,31.000,39.250,21.750,30.500,21.750,16.500,30.250,19.000,20.750,19.750,17.250
C,Pau Gasol,5700,Min@SA 08:30PM ET,29.171,SA,1,0,28.393,21.988,27.062,18.000,12.500,34.200,0.307,-12.000,200.000,0.000,10.250,10.250,18.000,43.250,24.750,22.250,38.250,22.500,35.250,24.750,36.500,24.750
PG,Tyler Johnson,5600,Hou@Mia 07:30PM ET,28.395,Mia,1,0,29.393,22.038,29.312,34.500,12.000,33.600,0.263,8.000,221.500,0.000,29.500,29.500,34.500,32.750,26.250,23.750,39.500,25.750,35.000,40.750,25.500,18.750
SF,Trevor Ariza,5600,Hou@Mia 07:30PM ET,28.244,Hou,0,0,26.429,21.886,30.062,43.000,10.000,33.600,0.250,-8.000,221.500,0.000,22.250,22.250,43.000,26.250,20.750,30.250,36.250,25.000,20.250,36.000,33.750,39.500
SG/SF,Will Barton,5600,Den@LAL 10:30PM ET,25.398,Den,0,0,28.714,16.635,23.188,17.500,23.000,33.600,0.215,-1.000,230.500,0.000,45.000,45.000,17.500,24.750,33.750,16.750,9.500,28.750,27.250,10.500,43.500,27.000
PG,Patrick Beverley,5500,Hou@Mia 07:30PM ET,27.664,Hou,0,0,30.786,21.179,25.625,39.750,8.000,33.000,0.259,-8.000,221.500,0.000,28.750,28.750,39.750,21.000,16.250,25.500,20.500,38.750,30.500,31.250,29.250,27.500
PF,Trevor Booker,5400,Tor@Bkn 07:30PM ET,28.459,Bkn,1,0,28.536,20.278,25.875,32.250,21.000,32.400,0.335,11.500,227.500,0.000,21.750,21.750,32.250,20.750,33.000,17.500,34.000,23.500,42.250,29.750,26.250,23.500
SG/SF,Dion Waiters,5300,Hou@Mia 07:30PM ET,24.690,Mia,1,0,27.929,14.275,20.000,25.000,24.000,31.800,0.276,8.000,221.500,0.000,29.250,29.250,25.000,27.250,10.500,17.250,5.250,44.750,31.500,17.500,33.250,34.500
SF/PF,DeMarre Carroll,5200,Tor@Bkn 07:30PM ET,20.000,Tor,0,0,15.357,13.382,31.812,29.000,29.000,31.200,0.117,-11.500,227.500,0.000,19.750,19.750,29.000,34.750,23.000,40.500,17.500,18.000,20.250,6.500,8.500,34.250
PF/C,Montrezl Harrell,5200,Hou@Mia 07:30PM ET,18.596,Hou,0,0,25.321,9.603,26.688,33.000,15.000,31.200,0.129,-8.000,221.500,0.000,14.250,14.250,33.000,23.250,19.750,30.750,35.750,18.500,22.000,29.750,24.000,40.000
PF/C,Gorgui Dieng,5200,Min@SA 08:30PM ET,26.848,Min,0,0,30.536,19.368,19.500,33.000,2.000,31.200,0.308,12.000,200.000,0.000,37.000,37.000,33.000,10.750,16.500,17.750,29.000,37.250,28.500,29.750,23.500,35.000
PF,Ryan Anderson,5100,Hou@Mia 07:30PM ET,24.378,Hou,0,0,30.036,17.846,23.375,23.750,8.500,30.600,0.259,-8.000,221.500,0.000,0.000,23.750,10.000,37.250,22.500,16.500,30.500,19.500,20.500,40.000,10.250,31.250
PG,Jeremy Lin,5000,Tor@Bkn 07:30PM ET,30.146,Bkn,1,1,33.250,25.472,29.125,26.500,10.000,30.000,0.506,11.500,227.500,0.000,0.000,26.500,21.000,44.500,24.500,28.000,25.250,28.250,18.000,29.500,40.250,47.750
SG/SF,Wesley Matthews,5000,Dal@Chi 08:00PM ET,26.173,Dal,0,0,27.500,19.413,22.938,32.750,12.250,30.000,0.319,6.000,197.000,0.000,20.000,20.000,32.750,29.000,13.500,16.500,20.000,20.500,25.000,32.500,25.250,26.000
PF,Nikola Mirotic,5000,Dal@Chi 08:00PM ET,21.326,Chi,1,1,20.607,14.053,21.750,4.750,4.500,30.000,0.198,-6.000,197.000,0.000,17.250,17.250,4.750,31.250,28.000,23.000,16.000,22.000,17.000,30.250,29.250,29.500
SG/SF,Josh Richardson,5000,Hou@Mia 07:30PM ET,22.473,Mia,1,1,22.643,15.467,23.500,9.750,24.000,30.000,0.229,8.000,221.500,0.000,0.000,9.750,28.000,25.000,31.250,50.000,33.000,35.750,14.250,21.250,23.000,9.750
SG,Bojan Bogdanovic,4900,Tor@Bkn 07:30PM ET,21.694,Bkn,1,0,24.786,15.630,23.062,11.000,2.000,29.400,0.191,11.500,227.500,0.000,17.750,17.750,11.000,31.500,18.750,31.000,28.500,35.000,7.250,13.250,20.250,15.500
PG,Emmanuel Mudiay,4900,Den@LAL 10:30PM ET,24.678,Den,0,0,13.821,14.382,25.125,46.500,28.000,29.400,0.349,-1.000,230.500,0.000,29.000,29.000,46.500,28.000,8.250,17.750,16.500,18.000,38.000,22.500,14.500,27.750
SG,Gary Harris,4800,Den@LAL 10:30PM ET,22.292,Den,0,1,17.750,11.750,19.062,0.000,18.000,28.800,0.256,-1.000,230.500,0.000,0.000,0.000,33.250,18.750,24.250,24.500,29.500,23.500,17.000,24.500,9.000,37.000
