Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PG/SG,James Harden,12800,Hou@Ind 06:00PM ET,61.260,Hou,0,0,68.607,52.954,70.062,97.750,19.500,76.800,0.119,-3.500,228.000,0.000,36.250,36.250,97.750,58.500,62.000,62.000,41.000,62.500,77.500,58.500,43.750,64.000
SF,Kevin Durant,10100,GS@Por 09:00PM ET,49.851,GS,0,0,51.464,42.146,45.062,44.000,18.500,60.600,0.142,-8.500,230.500,0.000,55.000,55.000,44.000,47.750,40.500,48.000,56.000,70.000,47.000,48.000,44.500,56.250
C,Anthony Davis,10000,Was@NO 06:00PM ET,53.360,NO,1,0,42.000,38.750,38.438,48.500,6.000,60.000,0.352,-1.000,1.000,0.000,70.750,70.750,48.500,15.250,44.250,45.750,24.250,64.500,73.500,63.500,51.000,51.000
PG,John Wall,9800,Was@NO 06:00PM ET,48.523,Was,0,0,43.929,41.214,44.125,38.500,27.000,58.800,0.137,1.000,1.000,0.000,53.750,53.750,38.500,52.750,39.000,46.250,61.750,53.000,42.500,48.250,41.750,58.000
PG,Kyle Lowry,8900,Orl@Tor 06:00PM ET,43.201,Tor,1,0,40.536,34.250,42.250,47.250,13.000,53.400,0.156,-9.500,208.000,0.000,54.250,54.250,47.250,52.000,39.250,30.500,32.750,44.000,39.000,44.500,49.000,34.250
SG/SF,Jimmy Butler,8800,Phi@Chi 07:00PM ET,43.446,Chi,1,0,43.107,33.889,37.125,10.250,17.250,52.800,0.262,-7.000,205.000,0.000,55.000,55.000,10.250,57.000,42.000,39.250,24.500,55.250,40.500,59.000,13.500,67.500
SF,Kawhi Leonard,8700,Dal@SA 07:00PM ET,42.679,SA,1,0,47.250,33.931,51.125,40.500,3.000,52.200,0.160,-12.500,196.000,0.000,39.250,39.250,40.500,58.500,52.750,52.750,49.000,42.000,54.250,28.500,44.000,45.500
PG,Stephen Curry,8600,GS@Por 09:00PM ET,43.984,GS,0,0,42.536,37.458,50.688,66.750,10.500,51.600,0.195,-8.500,230.500,0.000,0.000,66.750,44.500,48.500,43.000,39.750,46.500,49.500,44.500,52.000,48.500,57.250
C,Joel Embiid,8400,Phi@Chi 07:00PM ET,38.992,Phi,0,1,42.214,30.804,50.438,56.250,10.000,50.400,0.116,7.000,205.000,0.000,0.000,56.250,45.000,45.250,55.250,43.000,45.500,34.750,40.000,44.500,46.000,41.000
PG,Damian Lillard,8300,GS@Por 09:00PM ET,43.227,Por,1,0,39.464,35.125,40.562,48.750,15.500,49.800,0.285,8.500,230.500,0.000,35.000,35.000,48.750,34.000,41.250,38.250,42.250,39.750,48.500,22.250,40.500,37.750
SF/PF,Paul George,7900,Hou@Ind 06:00PM ET,38.814,Ind,1,0,39.107,33.386,42.062,45.000,19.750,47.400,0.124,3.500,228.000,0.000,53.250,53.250,45.000,46.500,48.250,28.500,37.000,34.500,37.750,27.500,31.250,38.750
PF/C,Draymond Green,7800,GS@Por 09:00PM ET,39.028,GS,0,0,33.857,32.083,28.375,26.250,28.500,46.800,0.197,-8.500,230.500,0.000,25.000,25.000,26.250,38.000,24.250,25.000,46.250,40.750,60.250,36.250,39.250,39.250
SG,DeMar DeRozan,7700,Orl@Tor 06:00PM ET,42.170,Tor,1,1,40.036,34.864,40.750,34.750,23.500,46.200,0.332,-9.500,208.000,0.000,39.250,39.250,34.750,28.750,38.750,60.750,35.750,36.000,62.750,50.000,54.000,40.250
PG,Jrue Holiday,7500,Was@NO 06:00PM ET,33.820,NO,1,0,42.536,26.426,46.688,53.000,3.000,45.000,0.142,-1.000,1.000,0.000,52.000,52.000,53.000,37.500,67.500,28.750,40.500,23.000,21.750,37.250,26.000,25.250
PG,Jeff Teague,7200,Hou@Ind 06:00PM ET,36.408,Ind,1,0,38.250,27.217,39.125,41.000,10.500,43.200,0.270,3.500,228.000,0.000,49.250,49.250,41.000,53.500,21.500,40.500,26.750,51.750,39.500,28.250,35.500,57.250
PG/SG,C.J. McCollum,7100,GS@Por 09:00PM ET,36.901,Por,1,0,39.857,29.214,34.750,23.500,13.750,42.600,0.308,8.500,230.500,0.000,43.750,43.750,23.500,36.000,49.500,30.000,31.000,23.000,41.750,45.000,36.750,52.750
SG,Dwyane Wade,7000,Phi@Chi 07:00PM ET,33.895,Chi,1,0,39.821,26.045,46.125,29.000,17.500,42.000,0.217,-7.000,205.000,0.000,34.500,34.500,29.000,47.750,49.250,58.500,13.250,26.250,39.750,32.250,38.500,39.000
PF,LaMarcus Aldridge,6900,Dal@SA 07:00PM ET,33.143,SA,1,0,32.536,24.631,39.125,35.000,2.000,41.400,0.209,-12.500,196.000,0.000,29.750,29.750,35.000,34.250,42.250,45.000,24.250,42.000,21.500,20.500,36.750,38.500
SG,Klay Thompson,6800,GS@Por 09:00PM ET,31.663,GS,0,0,29.536,25.125,30.250,20.750,9.000,40.800,0.166,-8.500,230.500,0.000,42.500,42.500,20.750,31.250,36.250,32.750,20.750,28.500,34.500,36.750,26.500,28.500
C,Myles Turner,6700,Hou@Ind 06:00PM ET,32.606,Ind,1,0,39.429,25.125,33.062,31.000,25.500,40.200,0.224,3.500,228.000,0.000,45.500,45.500,31.000,35.500,39.500,26.250,29.750,24.250,43.500,19.000,29.000,58.250
PG,Elfrid Payton,6700,Orl@Tor 06:00PM ET,29.042,Orl,0,0,32.357,20.464,34.500,30.250,9.000,40.200,0.187,9.500,208.000,0.000,35.500,35.500,30.250,22.250,46.000,39.500,22.500,43.000,58.750,36.500,12.000,23.500
SG,Bradley Beal,6600,Was@NO 06:00PM ET,33.631,Was,0,0,33.607,25.619,34.062,25.250,17.500,39.600,0.273,1.000,1.000,0.000,39.000,39.000,25.250,43.500,32.250,35.250,17.500,20.250,42.000,29.000,49.500,28.000
SF/PF,Markieff Morris,6600,Was@NO 06:00PM ET,28.233,Was,0,0,33.357,20.680,37.688,32.250,24.500,39.600,0.136,1.000,1.000,0.000,34.000,34.000,32.250,43.750,36.000,38.750,31.000,40.000,50.750,26.250,35.250,34.250
SF/PF,Harrison Barnes,6500,Dal@SA 07:00PM ET,31.370,Dal,0,0,34.821,24.238,29.062,39.500,2.500,39.000,0.178,12.500,196.000,0.000,26.250,26.250,39.500,33.750,14.750,28.250,28.250,26.500,20.250,41.000,35.500,31.000
C,Nikola Vucevic,6400,Orl@Tor 06:00PM ET,33.656,Orl,0,0,36.071,25.700,27.562,27.250,7.000,38.400,0.329,9.500,208.000,0.000,57.000,57.000,27.250,35.500,24.500,23.000,26.500,28.500,34.000,55.500,43.000,37.750
PF/C,Nerlens Noel,6300,Phi@Chi 07:00PM ET,18.908,Phi,0,0,22.321,9.778,28.625,22.500,12.750,37.800,0.059,7.000,205.000,0.000,32.500,32.500,22.500,37.250,46.000,8.750,22.250,6.000,19.500,19.000,27.500,19.000
SF/PF,Otto Porter,6300,Was@NO 06:00PM ET,30.054,Was,0,0,37.714,21.510,31.000,48.750,24.500,37.800,0.262,1.000,1.000,0.000,30.000,30.000,48.750,12.000,34.500,28.750,37.250,38.750,20.000,21.000,40.500,23.000
PF/C,Terrence Jones,6200,Was@NO 06:00PM ET,24.411,NO,1,0,31.286,16.160,36.625,31.750,15.500,37.200,0.145,-1.000,1.000,0.000,7.250,7.250,31.750,22.500,63.750,28.500,22.250,33.500,26.000,43.500,20.750,5.250
