Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG/SG,James Harden,12200,Hou@Mia 07:30PM ET,60.593,Hou,0,0,58.036,53.210,61.500,58.500,8.000,73.200,0.151,0.000,221.500,4.320,77.500
PF/C,Karl-Anthony Towns,9300,Min@SA 08:30PM ET,45.677,Min,0,0,44.143,38.390,55.312,36.750,2.000,55.800,0.190,12.000,200.000,-27.660,49.000
SG/SF,Jimmy Butler,9100,Dal@Chi 08:00PM ET,44.256,Chi,1,0,53.643,34.739,45.125,40.500,5.000,54.600,0.233,0.000,197.000,-24.750,55.250
SF,Kawhi Leonard,8800,Min@SA 08:30PM ET,41.789,SA,1,0,41.214,32.417,43.438,49.000,4.000,52.800,0.122,0.000,200.000,-23.160,52.750
PG,Kyle Lowry,8600,Tor@Bkn 07:30PM ET,43.538,Tor,0,0,48.750,35.264,41.688,39.000,29.000,51.600,0.217,0.000,227.500,8.500,0.000
SG,DeMar DeRozan,8500,Tor@Bkn 07:30PM ET,42.313,Tor,0,0,42.536,35.350,46.125,35.750,30.000,51.000,0.167,0.000,227.500,8.500,60.750
C,Hassan Whiteside,8400,Hou@Mia 07:30PM ET,42.385,Mia,1,0,46.857,30.653,38.875,34.250,23.000,50.400,0.277,8.000,221.500,2.320,37.750
C,Nikola Jokic,8100,Den@LAL 10:30PM ET,32.250,Den,0,0,38.786,21.145,47.750,60.250,29.000,48.600,0.137,0.000,230.500,10.590,56.250
PF/C,Julius Randle,7200,Den@LAL 10:30PM ET,31.663,LAL,1,0,34.500,22.263,23.875,19.000,12.500,43.200,0.153,1.000,230.500,10.590,25.750
PG,D'Angelo Russell,7000,Den@LAL 10:30PM ET,29.633,LAL,1,0,38.179,22.403,25.562,32.750,30.000,42.000,0.125,1.000,230.500,-0.161,14.000
PG,Goran Dragic,6800,Hou@Mia 07:30PM ET,34.758,Mia,1,0,40.643,27.566,30.625,30.750,12.000,40.800,0.289,8.000,221.500,2.320,42.500
SF/PF,Wilson Chandler,6700,Den@LAL 10:30PM ET,30.097,Den,0,0,26.071,20.806,32.375,25.000,27.500,40.200,0.195,0.000,230.500,10.590,28.000
PF/C,LaMarcus Aldridge,6600,Min@SA 08:30PM ET,32.479,SA,1,0,34.464,24.650,29.312,21.500,9.750,39.600,0.248,0.000,200.000,-10.660,42.000
SG,Dwyane Wade,6500,Dal@Chi 08:00PM ET,33.338,Chi,1,1,33.571,26.153,37.375,39.750,4.500,39.000,0.265,0.000,197.000,-24.972,26.250
SF/PF,Harrison Barnes,6400,Dal@Chi 08:00PM ET,31.800,Dal,0,0,35.214,24.611,31.938,20.250,15.750,38.400,0.212,6.000,197.000,-12.750,26.500
C,Brook Lopez,6300,Tor@Bkn 07:30PM ET,34.583,Bkn,1,1,33.214,27.500,34.062,34.750,8.000,37.800,0.379,11.500,227.500,6.500,44.750
C,Jonas Valanciunas,6200,Tor@Bkn 07:30PM ET,27.809,Tor,0,0,23.036,20.575,33.500,34.000,30.000,37.200,0.172,0.000,227.500,8.500,20.500
PF/C,Dirk Nowitzki,6100,Dal@Chi 08:00PM ET,25.033,Dal,0,0,25.179,18.833,32.000,34.500,14.750,36.600,0.118,6.000,197.000,-12.750,29.000
PF,James Johnson,6100,Hou@Mia 07:30PM ET,25.347,Mia,1,0,28.929,15.667,32.188,36.000,12.500,36.600,0.132,8.000,221.500,2.320,38.000
SG,Zach LaVine,6000,Min@SA 08:30PM ET,31.421,Min,0,0,29.143,23.292,26.562,21.750,22.000,36.000,0.325,12.000,200.000,-12.660,26.500
SF,Andrew Wiggins,6000,Min@SA 08:30PM ET,32.378,Min,0,0,35.607,23.132,30.125,36.500,2.000,36.000,0.375,12.000,200.000,-39.116,18.750
SF,Danilo Gallinari,6000,Den@LAL 10:30PM ET,28.660,Den,0,0,30.750,23.550,25.000,27.000,28.000,36.000,0.158,0.000,230.500,10.590,31.750
PG,Deron Williams,5900,Dal@Chi 08:00PM ET,28.617,Dal,0,0,32.964,20.554,32.312,38.000,9.000,35.400,0.238,6.000,197.000,-12.750,32.500
PG,Ricky Rubio,5900,Min@SA 08:30PM ET,27.625,Min,0,0,30.250,20.560,43.062,31.250,4.000,35.400,0.220,12.000,200.000,-25.160,50.000
SG,Eric Gordon,5800,Hou@Mia 07:30PM ET,28.811,Hou,0,0,32.536,22.663,27.812,33.750,8.000,34.800,0.226,0.000,221.500,-3.977,10.750
PF/C,Taj Gibson,5700,Dal@Chi 08:00PM ET,25.488,Chi,1,0,21.143,19.630,30.625,31.000,9.750,34.200,0.135,0.000,197.000,-12.750,0.000
C,Pau Gasol,5700,Min@SA 08:30PM ET,29.171,SA,1,0,28.393,21.988,27.062,18.000,12.500,34.200,0.307,0.000,200.000,-20.929,10.250
PG,Tyler Johnson,5600,Hou@Mia 07:30PM ET,28.395,Mia,1,0,29.393,22.038,29.312,34.500,12.000,33.600,0.263,8.000,221.500,2.320,29.500
SF,Trevor Ariza,5600,Hou@Mia 07:30PM ET,28.244,Hou,0,0,26.429,21.886,30.062,43.000,10.000,33.600,0.250,0.000,221.500,4.320,22.250
SG/SF,Will Barton,5600,Den@LAL 10:30PM ET,25.398,Den,0,0,28.714,16.635,23.188,17.500,23.000,33.600,0.215,0.000,230.500,10.590,45.000
PG,Patrick Beverley,5500,Hou@Mia 07:30PM ET,27.664,Hou,0,0,30.786,21.179,25.625,39.750,8.000,33.000,0.259,0.000,221.500,4.320,28.750
PF,Trevor Booker,5400,Tor@Bkn 07:30PM ET,28.459,Bkn,1,0,28.536,20.278,25.875,32.250,21.000,32.400,0.335,11.500,227.500,6.500,21.750
SG/SF,Dion Waiters,5300,Hou@Mia 07:30PM ET,24.690,Mia,1,0,27.929,14.275,20.000,25.000,24.000,31.800,0.276,8.000,221.500,2.320,29.250
SF/PF,DeMarre Carroll,5200,Tor@Bkn 07:30PM ET,20.000,Tor,0,0,15.357,13.382,31.812,29.000,29.000,31.200,0.117,0.000,227.500,8.500,19.750
PF/C,Montrezl Harrell,5200,Hou@Mia 07:30PM ET,18.596,Hou,0,0,25.321,9.603,26.688,33.000,15.000,31.200,0.129,0.000,221.500,4.320,14.250
PF/C,Gorgui Dieng,5200,Min@SA 08:30PM ET,26.848,Min,0,0,30.536,19.368,19.500,33.000,2.000,31.200,0.308,12.000,200.000,-27.660,37.000
PF,Ryan Anderson,5100,Hou@Mia 07:30PM ET,24.378,Hou,0,0,30.036,17.846,23.375,23.750,8.500,30.600,0.259,0.000,221.500,4.320,0.000
