Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PF/C,DeMarcus Cousins,11400,NO@PHO 11/24/2017 09:00PM ET,57.208,NO,55.95,65,58.083788,62.87569444,0
SF/PF,LeBron James,11200,CHA@CLE 11/24/2017 08:00PM ET,54.806,CLE,57.87,54.5,55.72162565,52.80770833,0
PF/C,Anthony Davis,10700,NO@PHO 11/24/2017 09:00PM ET,51.279,NO,52.81,56.25,55.74849478,56.57994048,0
PG,Russell Westbrook,10600,DET@OKC 11/24/2017 08:00PM ET,50.574,OKC,59.85,48.75,48.89159909,48.16395833,0
SF/PF,Kevin Durant,9900,CHI@GS 11/24/2017 10:30PM ET,45.719,GS,45.34,43,46.26015755,45.06791667,0
PG/SG,Stephen Curry,9600,CHI@GS 11/24/2017 10:30PM ET,46.118,GS,45.84,49.5,49.35547778,51.27992063,0
PF/C,Kristaps Porzingis,8900,NY@ATL 11/24/2017 07:30PM ET,43.844,NY,39.83,42.25,42.10101079,47.70821429,0
C,Andre Drummond,8800,DET@OKC 11/24/2017 08:00PM ET,42.515,DET,41.77,42.25,41.03432451,42.66416667,0
C,Karl-Anthony Towns,8700,MIA@MIN 11/24/2017 08:00PM ET,41.903,MIN,43.97,43.75,43.5025076,38.94672619,0
SF,Paul George,8500,DET@OKC 11/24/2017 08:00PM ET,40.279,OKC,44.06,44,36.48702223,32.89486111,0
C,Hassan Whiteside,8500,MIA@MIN 11/24/2017 08:00PM ET,38.25,MIA,38.88,41.5,42.2246033,41.35458333,0
SG/SF,DeMar DeRozan,8400,TOR@IND 11/24/2017 08:00PM ET,39.221,TOR,42.22,37.25,40.06600767,32.8564881,0
PG,Kyrie Irving,8300,ORL@BOS 11/24/2017 07:30PM ET,38.417,BOS,40.48,32.25,37.37164597,33.03625,0
PG,Kemba Walker,8200,CHA@CLE 11/24/2017 08:00PM ET,38.985,CHA,41.08,38.75,37.34569538,39.26982143,0
PG,Kyle Lowry,8100,TOR@IND 11/24/2017 08:00PM ET,35.485,TOR,38.04,38,36.55294141,34.16875,0
PG/SG,Victor Oladipo,8000,TOR@IND 11/24/2017 08:00PM ET,39.917,IND,37.49,38,37.07187194,40.72267857,0
C,Marc Gasol,7900,MEM@DEN 11/24/2017 09:00PM ET,41.309,MEM,44.31,35.75,36.00288766,42.79032738,0
SG/SF,Devin Booker,7800,NO@PHO 11/24/2017 09:00PM ET,36.921,PHO,38.83,41.75,41.47804111,32.75392857,0
PF/C,Kevin Love,7700,CHA@CLE 11/24/2017 08:00PM ET,37.403,CLE,38.39,36,40.97453563,37.61507937,0
PF/C,Draymond Green,7500,CHI@GS 11/24/2017 10:30PM ET,34.208,GS,36.47,34.25,37.42995055,35.82678571,0
SG,Klay Thompson,7100,CHI@GS 11/24/2017 10:30PM ET,32.458,GS,29.12,32.75,33.01724384,30.17904762,0
C,Dwight Howard,7000,CHA@CLE 11/24/2017 08:00PM ET,35.765,CHA,36.9,28.5,34.17860059,30.36625,0
PF/C,Al Horford,6900,ORL@BOS 11/24/2017 07:30PM ET,34.338,BOS,36.44,37,33.73716416,33.52910714,0
SF/PF,Carmelo Anthony,6900,DET@OKC 11/24/2017 08:00PM ET,34.438,OKC,33.92,29.75,31.08822048,29.68988095,0
SG/SF,Tyreke Evans,6900,MEM@DEN 11/24/2017 09:00PM ET,32.544,MEM,33.01,30.5,29.91019623,30.99747024,0
SG,Jimmy Butler,6800,MIA@MIN 11/24/2017 08:00PM ET,34.141,MIN,37.54,37.25,36.35365144,32.16041667,0
C,Myles Turner,6700,TOR@IND 11/24/2017 08:00PM ET,31.455,IND,31.09,28.25,31.54656131,21.74410624,0
PG,Goran Dragic,6700,MIA@MIN 11/24/2017 08:00PM ET,32.75,MIA,30.98,33.5,34.06629365,33.9577877,0
SG/SF,Tim Hardaway Jr.,6600,NY@ATL 11/24/2017 07:30PM ET,32.544,NY,31.74,32.25,35.71779798,32.04267857,0
PG,Dennis Schroder,6600,NY@ATL 11/24/2017 07:30PM ET,35.484,ATL,37.12,35.25,39.04547396,31.72035714,0
C,Nikola Vucevic,6600,ORL@BOS 11/24/2017 07:30PM ET,35.306,ORL,34.62,34,32.35219578,36.8375,0
SF/PF,T.J. Warren,6600,NO@PHO 11/24/2017 09:00PM ET,31.395,PHO,34.06,32.5,36.22551297,26.16323413,0
PG,Isaiah Thomas,6600,CHA@CLE 11/24/2017 08:00PM ET,0,CLE,0,0,0,0,0
SG/SF,Jaylen Brown,6500,ORL@BOS 11/24/2017 07:30PM ET,28.868,BOS,30.23,28,26.60208862,26.98550595,0
