,Date,FirstName,Headline,Injured,Injured_Status,Injury_Detail,Injury_Location,Injury_Side,Injury_Type,LastName,ListItemCaption,ListItemDescription,ListItemPubDate,PlayerID,Position,Priority,RotoId,Team,TeamCode,UpdateId,lastUpdate,player_code
0,1511649463,Markieff,Markieff Morris: No longer on minutes restriction,NO,Healthy,,,,,Morris,"Morris is no longer on a minutes restriction, which he was placed on after coming off sports hernia surgery, Candace Buckner of The Washington Post reports.","Morris saw a season-high 34 minutes during Wednesday's game against the Hornets, posting 14 points and eight rebounds. Prior to that, he was seeing just 21.5 minutes per contest. Morris' health is especially important for the next two weeks, as starting point guard John Wall (knee) is expected to miss that length of time.",11/25/2017 12:37:43 PM,202693,F,3,3200,WAS,wizards,270734,11/25/2017 12:37:43 PM,markieff_morris
1,1511649278,Jonathon,Jonathon Simmons: Will play Saturday,NO,Healthy,,,,,Simmons,"Simmons (quad) will play Saturday against the 76ers, Josh Robbins of the Orlando Sentinel reports.","Simmons came into the day carrying a questionable tag after bruising his thigh in Friday's loss to Boston, but the issue doesn't look to be anything of concern. The 28-year-old played 24 minutes Friday and finished with 14 points, three rebounds and an assist.",11/25/2017 12:34:38 PM,203613,G,3,3788,ORL,magic,270733,11/25/2017 12:34:38 PM,jonathon_simmons
2,1511649191,Brandan,Brandan Wright: Remains out Saturday,YES,Out,Not Specified,,Right,Groin,Wright,Wright (groin) will be sidelined for Saturday’s matchup against the Nets.,"Wright has missed the past three contests while dealing with a right groin injury. In his absence, Jarell Martin and Deyonta Davis will likely continue seeing extra run.",11/25/2017 12:33:11 PM,201148,C,3,2815,MEM,grizzlies,270732,11/25/2017 12:33:11 PM,brandan_wright
3,1511649071,Wayne,Wayne Selden: Remains out Saturday,YES,Out,Soreness,,Right,Quadriceps,Selden,Selden (quad) will not play during Saturday’s matchup against the Nets.,Selden has missed the past four games while nursing right quad soreness and has played just two games this season. He should continue being considered day-to-day after Saturday's contest.,11/25/2017 12:31:11 PM,1627782,G,3,3877,MEM,grizzlies,270731,11/25/2017 12:31:11 PM,wayne_selden
4,1511648938,Jeremy,Jeremy Lamb: Heads back to bench Saturday,NO,Healthy,,,,,Lamb,"Lamb, with the return of Nicolas Batum (elbow) to the starting five, will head back to the bench for Saturday’s game against the Spurs.","Though a return to the bench will afford Lamb less playing time, he's still played well in that role. In five games coming off the pine, he's averaged 16.0 points, 5.6 rebounds and 3.2 assists across 25.3 minutes per game.",11/25/2017 12:28:58 PM,203087,G,3,3319,CHA,hornets,270730,11/25/2017 12:28:58 PM,jeremy_lamb
5,1511648799,Nicolas,Nicolas Batum: Will start Saturday,NO,Healthy,,,Not Specified,,Batum,Batum (elbow) will draw the start for Saturday’s matchup against the Spurs.,"Batum was questionable heading into the contest with a left elbow bruise -- the same elbow that caused him to miss the first 12 games of the year. But, it's apparently not giving him too much discomfort Saturday. With his return, Jeremy Lamb will head back to the bench.",11/25/2017 12:26:39 PM,201587,F,3,2821,CHA,hornets,270729,11/25/2017 12:26:39 PM,nicolas_batum
6,1511648357,Joel,Joel Embiid: Cleared to play Saturday,NO,Healthy,,,,,Embiid,"Embiid (illness) will play and start as expected for Saturday’s matchup against the Magic, Jessica Camerato of NBC Sports Philadelphia reports.","Embiid has been nursing a cold, though it's not serious enough to keep him off the floor Saturday. It's possible he has less energy than usual, so deploying him in DFS carries slightly increased risk. That said, his upside is still hard to pass up.",11/25/2017 12:19:17 PM,203954,C,2,3572,PHI,sixers,270728,11/25/2017 12:19:17 PM,joel_embiid
7,1511647518,Nemanja,Nemanja Bjelica: Questionable Sunday vs. Suns,YES,GTD,Sprain,,Left,Foot,Bjelica,"Bjelica (foot) is questionable for Sunday’s matchup against the Suns, Jerry Zgoda of the Minneapolis Star Tribune reports.","Bjelica is nursing a left foot sprain, which kept him out of Friday's game against Miami. More word on his availability should arrive after Sunday's morning shootaround. In his absence, Taj Gibson saw 37 minutes, while Gorgui Dieng received 16.",11/25/2017 12:05:18 PM,202357,F,3,3155,MIN,timberwolves,270727,11/25/2017 12:05:18 PM,nemanja_bjelica
8,1511647357,Victor,Victor Oladipo: Ruled out vs. Celtics,YES,Out,,,,Knee,Oladipo,Oladipo (knee) will be sidelined for Saturday’s matchup against the Celtics.,"Oladipo picked up a knee injury during Friday's win over the Raptors. While the extent of the issue remains unclear, it's apparently still bothersome enough to force his first absence of the season. Lance Stephenson and Bojan Bogdanovic should see increased minutes in his stead, while Oladipo's next chance to get back on the court will be Monday against the Magic.",11/25/2017 12:02:37 PM,203506,G,3,3433,IND,pacers,270726,11/25/2017 12:02:37 PM,victor_oladipo
9,1511647141,Jeff,Jeff Teague: Questionable to play Sunday,YES,GTD,Soreness,,Right,Achilles,Teague,"Teague (Achilles) is considered questionable for Sunday’s game against the Suns, Jerry Zgoda of the Minneapolis Star Tribune reports.","Teague was held out of Friday's loss to Miami with a sore right Achilles, and it looks as though the Wolves will wait until shootaround Sunday to issue an update. In the event that Teague is ultimately ruled out, Tyus Jones would likely make another start in his place.",11/25/2017 11:59:01 AM,201952,G,3,3025,MIN,timberwolves,270725,11/25/2017 11:59:01 AM,jeff_teague
