,Date,FirstName,Headline,Injured,Injured_Status,Injury_Detail,Injury_Location,Injury_Side,Injury_Type,LastName,ListItemCaption,ListItemDescription,ListItemPubDate,PlayerID,Position,Priority,RotoId,Team,TeamCode,UpdateId,lastUpdate,player_code
0,1511463195,Bobby,"Bobby Portis: Scores 14, grabs eight boards in loss",NO,Healthy,,,,,Portis,"Portis recorded 14 points (5-11 FG, 0-3 3Pt, 4-4 FT),  eight rebounds, two assists and a blocked shot across 25 minutes in Wednesday’s 110-80 loss to the Jazz.","Portis was one of the lone bright spots for the Bulls on Wednesday as the Jazz effectively shut down Chicago's backcourt.  Portis might have seen more time due to Lauri Markannen's struggles on the court but he accumulated five fouls and logged only 25 minutes.  Portis has played serviceably since his return from injury, but Markannen has pushed him out of the starting five indefinitely. It's hard to justify a spot for Portis on your roster due to his current usage.",11/23/2017 8:53:15 AM,1626171,F,3,3705,CHI,bulls,270560,11/23/2017 8:53:15 AM,bobby_portis
1,1511463171,Nicolas,Nicolas Batum: Questionable vs. Cleveland,YES,GTD,Bruise,,Left,Elbow,Batum,"Batum (elbow) is questionable for Friday’s game against the Cavaliers, Rick Bonnell of The Charlotte Observer reports.","Batum suffered a bruised left elbow in Wednesday's overtime win over the Wizards and did not return. There seems to be some optimism surrounding Batum's questionable tag, but given that it is the same elbow that kept Batum out for several weeks to start the season, it's possible the team chooses to exercise caution. Expect another update on the Frenchman following the Hornets' morning shootaround.",11/23/2017 8:52:51 AM,201587,F,3,2821,CHA,hornets,270559,11/23/2017 8:52:51 AM,nicolas_batum
2,1511462332,Robin,Robin Lopez: Leads team with 15 points in loss,NO,Healthy,,,,,Lopez,"Lopez posted 15 points (6-9 FG, 3-4 FT), four rebounds and an assist across 25 minutes in Wednesday’s 110-80 loss to the Jazz.","With Chicago's backcourt mostly stifled by the Jazz, most of the Bulls' output was found inside with Lopez pacing the team.  Lopez and Bobby Portis were the only bright spots to speak of under the basket, as Luis Markkanen had a horrible outing and Denzel Valentine was even less effective. The nine-year veteran brings much-needed experience and leadership to this young team and despite their recent woes, Lopez has shown decent production, averaging 13.4 points and 5.4 rebounds over the first 16 games of the season.",11/23/2017 8:38:52 AM,201577,C,3,2919,CHI,bulls,270558,11/23/2017 8:38:52 AM,robin_lopez
3,1511461229,Rodney,Rodney Hood: Pours in 19 points off the bench,NO,Healthy,,,,,Hood,"Hood scored 19 points (7-17 FG, 3-9 3Pt, 2-2 FT) while adding four rebounds, an assist and a steal across 25 minutes in Wednesday’s 110-80 win over the Bulls.","With rookie Donovan Mitchell struggling with his shot, Hood entered the game and saw extensive time on the floor as part of Utah's blistering perimeter attack, which was firing on all cylinders Wednesday. Hood's fantasy value has been complicated by a combination of new teammate Ricky Rubio and the excellent play of Mitchell. Hood saw one start last week when Mitchell shifted to the point but it appears that a Rubio/Mitchell backcourt will be the new normal, leaving Hood to provide less fantasy value with the second unit.  Hood will have to string together similar stat lines and more usage to be completely reliable in any format, but he's still widely owned. He should warrant some consideration, especially if Mitchell's shot continues to fail him.",11/23/2017 8:20:29 AM,203918,G,3,3591,UTA,jazz,270557,11/23/2017 8:20:29 AM,rodney_hood
4,1511460526,Derrick,Derrick Favors: Leads team with 23 points in rout,NO,Healthy,,,,,Favors,"Favors recorded 23 points (8-11 FG, 7-8 FT), seven rebounds, an assist, a steal and a blocked shot across 29 minutes in Wednesday’s 110-80 win over the Bulls.","As the primary replacement for Rudy Gobert (knee), Favors has emerged as an attractive fantasy option off the waiver wire.  He's executing effectively on both sides of the ball and is averaging 15.9 points, 9.1 rebounds and 1.6 blocks across seven games since Gobert's injury.  With no clear timetable for Gobert's return, Favors becomes a must-add target and a rosterable player for at least the next month.",11/23/2017 8:08:46 AM,202324,F,3,3107,UTA,jazz,270556,11/23/2017 8:08:46 AM,derrick_favors
5,1511445665,Rudy,Rudy Gay: Scores team-high 19 points,NO,Healthy,,,,,Gay,"Gay scored 19 points (8-14 FG, 2-3 3PT, 1-1 FT) to go along with three rebounds, two assists and one steal across 25 minutes in Wednesday’s 107-90 loss to New Orleans.","With 19 points from the bench on Wednesday, Gay led San Antonio in scoring on a night when the offense struggled to reach 90 points. The forward was also efficient from the floor, hitting 57.1 percent of his shots as well as 2-of-3 from beyond the arc. Wednesday's scoring performance aside, do not expect Gay to lead the Spurs offense on a nightly basis. Gay will look to chip in more from the bench on Saturday against Charlotte.",11/23/2017 4:01:05 AM,200752,F,3,2691,SAS,spurs,270555,11/23/2017 4:01:05 AM,rudy_gay
6,1511444764,LaMarcus,LaMarcus Aldridge: Scores 16 points in loss,NO,Healthy,,,,,Aldridge,"Aldridge scored 16 points (7-14 FG, 0-1 3PT, 2-2 FT) to go along with four rebounds and one assist across 27 minutes in Wednesday’s 107-90 loss to New Orleans.","Much like the San Antonio offense, Aldridge was rather quiet against New Orleans. Aldridge, who is averaging 21.9 points, is very much off to a solid start as the focal point of the San Antonio offense in the absence of Tony Parker (quadriceps) and Kawhi Leonard (quadriceps). The power forward will look to bounce back Saturday against a middling Charlotte defense that gives up an average of 106.5 points per game.",11/23/2017 3:46:04 AM,200746,F,3,2502,SAS,spurs,270554,11/23/2017 3:46:04 AM,lamarcus_aldridge
7,1511437525,James,James Harden: Has quiet game in easy victory,NO,Healthy,,,,,Harden,"Harden tallied 21 points (6-16 FG, 1-7 3Pt, 8-9 FT), nine assists and eight rebounds in 31 minutes during Wednesday’s 125-95 victory over the Nuggets.","Harden cooled off, scoring his lowest point total of the month. The fact that a line like this is deemed a quiet night, speaks volumes about how good he has been this season. He appears to be fitting in well next to Chris Paul, who continues to ramp up his playing time. There is no reason to believe Harden cannot put up numbers similar to last season, apart from taking a hit to his assists total. He should remain a top-five fantasy asset, barring any injury setbacks.",11/23/2017 1:45:25 AM,201935,G,3,3018,HOU,rockets,270553,11/23/2017 1:45:25 AM,james_harden
8,1511437184,Chris,Chris Paul: Double-doubles in victory,NO,Healthy,,,,,Paul,"Paul finished with 23 points (8-11 FG, 4-7 3Pt, 3-4 FT), 12 assists, three steals and two rebounds across 27 minutes in Wednesday’s 125-95 victory over Denver.","Paul had his best game in a Rockets jersey, collecting season-high totals in points, assists, and steals. He has his shot going tonight, albeit against a lackluster Dever defense. He played right on his minutes restriction of 28 minutes, and this is a great sign for owners given the nature of the scoreline. He should be locked in for 30 minutes plus moving forward, and should now be deployed in all formats.",11/23/2017 1:39:44 AM,101108,G,3,2584,HOU,rockets,270552,11/23/2017 1:39:44 AM,chris_paul
9,1511436566,Will,Will Barton: Fills box score in loss,NO,Healthy,,,,,Barton,"Barton collected 20 points (7-16 FG, 2-8 3Pt, 4-5 FT), six rebounds, three assists, two steals and two blocks in 35 minutes during Wednesday’s 125-95 loss to Houston.","Barton received another start, once again leading the team in scoring. With Paul Millsap (wrist) set to miss an extended period of time, Barton is in a prime position to cash in with more playing time. While his numbers looked good however, he did have a plus/minus rating of -42, the worst on the team. While this may or may not have an effect on his minutes distribution, it is an area of concern for the Denver coaching staff.",11/23/2017 1:29:26 AM,203115,G,3,3335,DEN,nuggets,270551,11/23/2017 1:29:26 AM,will_barton
