,Date,FirstName,Headline,Injured,Injured_Status,Injury_Detail,Injury_Location,Injury_Side,Injury_Type,LastName,ListItemCaption,ListItemDescription,ListItemPubDate,PlayerID,Position,Priority,RotoId,Team,TeamCode,UpdateId,lastUpdate,player_code
0,1511212820,Paul,Paul Millsap: X-ray on wrist comes back clean,YES,Out,Sprain,,Left,Wrist,Millsap,"An X-ray on Millsap’s left wrist came back negative, Chris Haynes of ESPN reports.","Millsap has already been ruled out for Monday's game against the Kings, but this recent update regarding a clean X-ray is fantastic news considering some in the organization were worried about a potential fracture. It appears Millsap has avoided anything serious, though the sprain could still cost him multiple games. Following Monday's contest, Millsap's next opportunity to return will be Wednesday against the Rockets, though his availability for that contest is not yet known.",11/20/2017 11:20:20 AM,200794,F,3,2705,DEN,nuggets,270328,11/20/2017 11:20:20 AM,paul_millsap
1,1511210694,Sterling,Sterling Brown: Back from G-League,NO,Healthy,,,,,Brown,"Brown was recalled from the G-League on Monday, Matt Velazquez of the Journal Sentinel reports.","Brown spent the weekend with the Wisconsin Herd but will return to the Bucks in advance of Monday's meeting with the Wizards. The rookie out of SMU has not been a part of the rotation, to date, appearing sparingly in only three games for Milwaukee.",11/20/2017 10:44:54 AM,,G,3,4197,MIL,bucks,270327,11/20/2017 10:44:54 AM,
2,1511207714,Tyson,"Tyson Chandler: Practices Monday, likely to play Wednesday",YES,GTD,,,,Illness,Chandler,"Chandler (illness) returned to practice Monday and expected to play in Wednesday’s game against the Bucks, Scott Bordow of the Arizona Republic reports.","Chandler has missed the last three games while working through an illness, but finally feels as if he's nearing full strength. He was able to partake in practice Monday without any issues, so look for Chandler to return to the lineup on Wednesday barring any setbacks. That said, with Greg Monroe playing well as a fill-in center and the presence of Alex Len, the center rotation is a bit unclear at this point in time, so it may be wise to avoid the situation until some clarity is provided.",11/20/2017 9:55:14 AM,2199,C,3,2158,PHX,suns,270326,11/20/2017 9:55:14 AM,tyson_chandler
3,1511206028,Vince,Vince Carter: Ruled out Monday vs. Nuggets,YES,Out,,,,Illness,Carter,"Carter (illness) has been ruled out for Monday’s game against the Nuggets, James Ham of NBC Sports Bay Area reports.","Carter will be missing a seventh straight game, as he continues to deal with kidney stones. That said, Carter has averaged just 12.0 minutes per game so far this season, so his absence shouldn't have a drastic impact on the regular rotation. If anything, guys like Bogdan Bogdanovic and Justin Jackson could see increased playing time on the wing.",11/20/2017 9:27:08 AM,1713,G,3,1891,SAC,kings,270325,11/20/2017 9:27:08 AM,vince_carter
4,1511205841,Buddy,Buddy Hield: Ruled out Monday vs. Nuggets,YES,Out,,,,Ankle,Hield,"Hield (ankle) will not play Monday against Denver, Jason Jones of the Sacramento Bee reports.","Monday will mark the second straight absence for Hield, who was held out of action Saturday in Portland after spraining his ankle Friday night. In his absence, expect Garrett Temple, Bogdan Bogdanovic and Malachi Richardson to each pick up some extra run. Hield's next chance to play will come Wednesday against the Lakers.",11/20/2017 9:24:01 AM,1627741,G,3,3884,SAC,kings,270324,11/20/2017 9:24:01 AM,buddy_hield
5,1511205745,Wilson,Wilson Chandler: Questionable Monday with sore lower back,YES,GTD,Soreness,,Not Specified,Back,Chandler,Chandler is dealing with lower back pain and is considered questionable for Monday’s matchup with the Kings.,"Chandler likely tweaked his back during Sunday's contest, though he's going to test it out during pregame warmups before a final decision is made on his availability. If Chandler is ultimately unable to play, the Nuggets would be very short-handed in the frontcourt with Paul Millsap (wrist) already ruled out. Look for Juancho Hernangomez and Will Barton to fill in with more time at small forward if Chandler can't give it a go.",11/20/2017 9:22:25 AM,201163,F,3,2880,DEN,nuggets,270323,11/20/2017 9:22:25 AM,wilson_chandler
6,1511205492,Paul,Paul Millsap: Out Monday vs. Kings,YES,Out,Sprain,,Left,Wrist,Millsap,Millsap (wrist) has been ruled out for Monday’s game against the Kings.,"Millsap sprained his left wrist during Sunday's game against the Lakers, eventually being pulled from the contest after just 13 minutes. With the Nuggets heading into the second night of a back-to-back, that didn't give Millsap enough time to make a recovery and he'll now be held out to avoid putting any additional strain on his wrist. With Millsap out, Kenneth Faried and Juancho Hernangomez should see a bump in playing time in the frontcourt. Wilson Chandler could also get more run at power forward as well, though he's currently questionable for Monday's contest with lower back pain.",11/20/2017 9:18:12 AM,200794,F,1,2705,DEN,nuggets,270322,11/20/2017 9:18:12 AM,paul_millsap
7,1511202580,Georgios,Georgios Papagiannis: Back from G-League,NO,Healthy,,,,,Papagiannis,"Papagiannis was recalled from the G-League on Monday, Jason Jones of the Sacramento Bee reports.","The second-year big man has not been a part of the Kings' regular rotation this season and has appeared in only four NBA games, logging a total of just 26 minutes. He'll likely continue to shuttle between Sacramento and Reno throughout the season.",11/20/2017 8:29:40 AM,1627834,C,3,3927,SAC,kings,270321,11/20/2017 8:29:40 AM,george_papagiannis
8,1511200680,Seth,Seth Curry: Remains without a timetable,YES,Out,Fracture,,Left,Lower Leg,Curry,"Curry (lower leg) remains without a timetable to make his season debut, Eddie Sefko of the Dallas Morning News reports. “I don’t have a timetable,” coach Rick Carlisle said Monday. “He ain’t playing this week. I don’t think he’ll play today, Wednesday or Saturday. Again, it’s how he feels. There haven’t been any setbacks or major problems. It just takes time when it’s a stress reaction.”","Carlisle's words certainly don't inspire a ton of optimism, and it looks as though Curry's absence will likely extend into early December. Expect Wes Matthews, J.J. Barea, Devin Harris, Dennis Smith, and Yogi Ferrell to continue to shoulder the bulk of the workload in the backcourt in Curry's absence. Once he's back to full strength, he'll likely be a regular part of the rotation off the bench.",11/20/2017 7:58:00 AM,203552,G,3,3498,DAL,mavericks,270320,11/20/2017 7:58:00 AM,seth_curry
9,1511198844,Jamal,Jamal Crawford: Upgraded to probable,YES,GTD,,,,Head,Crawford,Crawford (migraine) has been upgraded to probable for Monday’s game against the Hornets.,"Crawford was initially listed as questionable after he departed Sunday's loss to the Pistons with a migraine, but he's trending in the right direction and appears on track to play. Look for a more concrete update closer to game-time.",11/20/2017 7:27:24 AM,2037,G,3,2067,MIN,timberwolves,270319,11/20/2017 7:27:24 AM,jamal_crawford
10,1511198551,Rajon,Rajon Rondo: To play roughly 25 minutes Monday,NO,Healthy,,,,,Rondo,"Rondo’s said he expects to play around 24-26 minutes in Monday’s game against the Thunder, Pelicans radio host Daniel Sallerson reports.","After missing the first month of the season with a sports hernia, Rondo has been gradually integrated into the rotation, playing five, 14, and 25 minutes, respectively, through his first three games back. He'll likely play about the same role as he did Friday in Denver, when he finished with 13 points (6-8 FG, 1-2 3PT), six assists, three rebounds and two turnovers.",11/20/2017 7:22:31 AM,200765,G,3,2703,NOP,pelicans,270318,11/20/2017 7:22:31 AM,rajon_rondo
11,1511198256,Ryan,Ryan Anderson: Misses practice with illness,YES,GTD,Not Specified,,Not Specified,Illness,Anderson,"Anderson missed practice Monday due to illness, Hunter Atkins of the Houston Chronicle reports.","With the Rockets off until Wednesday, there's a good chance Anderson's availability won't be in any jeopardy, but he should still be considered day-to-day until further notice. The 29-year-old has hit a combined nine three pointers (9-15 3PT) en route to 37 points over his last two contests.",11/20/2017 7:17:36 AM,201583,F,3,2923,HOU,rockets,270317,11/20/2017 7:17:36 AM,ryan_j_anderson
12,1511197591,Anthony,Anthony Davis: Will play Monday vs. Thunder,NO,Healthy,,,,,Davis,"Davis (face) will play Monday against the Thunder, Pelicans radio host Daniel Sallerson reports.","Davis was removed from Friday's game against Denver after taking a hit to the head, but he's passed through the league's concussion protocol and is not expected to be limited Monday. In the month of November, the 24-year-old is averaging 23.3 points, 10.0 rebounds, 3.4 assists, 2.0 blocks and 1.7 steals per game while shooting better than 36 percent from beyond the arc.",11/20/2017 7:06:31 AM,203076,F,3,3297,NOP,pelicans,270316,11/20/2017 7:06:31 AM,anthony_davis
