all,team,sg,pf,sf,c,g,pg
240.2,BKN,43.0,45.8,45.1,53.6,42,52.8
229.8,LAL,39.3,45.3,41.3,53.2,47,50.1
223.7,DEN,41.8,41.4,39.9,48.4,41,52.7
223.0,NO,39.5,44.8,40.1,49.3,44,49.1
221.5,POR,37.5,46.2,40.1,52.2,45,46.0
221.5,IND,40.6,45.7,39.0,48.7,42,47.0
221.3,PHO,38.7,43.3,40.5,49.9,42,49.1
220.1,NY,40.3,43.5,39.1,50.4,44,46.8
219.1,BOS,37.9,44.7,39.7,49.3,42,47.5
218.4,SAC,39.5,44.3,38.7,47.9,42,47.8
218.3,HOU,40.6,42.5,40.6,49.4,46,45.9
217.5,CLE,41.6,41.9,40.8,46.7,41,47.1
217.5,CHA,39.2,41.1,39.9,50.3,43,47.3
217.1,MIL,38.9,43.0,43.7,48.1,42,43.3
217.0,ORL,39.6,41.8,39.7,49.2,45,46.3
216.5,PHI,39.1,40.5,40.0,50.8,41,46.3
215.0,ATL,39.8,42.7,40.1,44.5,43,48.0
213.2,GS,38.1,40.9,38.4,49.8,43,47.0
213.1,OKC,37.9,42.5,36.4,48.4,44,48.3
213.1,CHI,38.2,42.7,38.5,47.3,44,46.4
212.7,WAS,37.8,44.3,39.4,47.3,42,43.6
211.3,TOR,35.5,43.9,38.8,47.1,43,46.0
210.7,MIN,37.2,40.9,36.7,48.1,43,47.7
210.5,MIA,37.1,40.8,38.4,49.0,43,45.3
209.0,DET,37.2,41.4,36.7,45.7,44,48.0
206.8,LAC,37.3,40.1,39.2,47.3,44,43.3
203.6,DAL,37.3,39.4,37.0,48.1,43,42.2
201.5,SA,39.7,39.4,35.3,43.0,42,44.0
200.1,MEM,36.8,40.2,36.9,41.9,45,44.4
192.4,UTA,34.4,37.9,34.0,42.2,44,44.1
